"imd_decile","sex","age","rate1000","population_imd","RR_imd"
1,"Females",0,4.94573025014443,2802181,1.38071754610397
1,"Females",1,0.299615707504562,2802181,1.38071754610397
1,"Females",2,0.176731845901308,2802181,1.38071754610397
1,"Females",3,0.140833189702605,2802181,1.38071754610397
1,"Females",4,0.0925080755889661,2802181,1.38071754610397
1,"Females",5,0.122883861603253,2802181,1.38071754610397
1,"Females",6,0.111838121234422,2802181,1.38071754610397
1,"Females",7,0.0856044878584462,2802181,1.38071754610397
1,"Females",8,0.0897466404967581,2802181,1.38071754610397
1,"Females",9,0.0787009001279264,2802181,1.38071754610397
1,"Females",10,0.0897466404967581,2802181,1.38071754610397
1,"Females",11,0.0869852054045502,2802181,1.38071754610397
1,"Females",12,0.0787009001279264,2802181,1.38071754610397
1,"Females",13,0.110457403688318,2802181,1.38071754610397
1,"Females",14,0.125645296695461,2802181,1.38071754610397
1,"Females",15,0.133929601972085,2802181,1.38071754610397
1,"Females",16,0.202965479277284,2802181,1.38071754610397
1,"Females",17,0.219534089830531,2802181,1.38071754610397
1,"Females",18,0.289950684681834,2802181,1.38071754610397
1,"Females",19,0.262336333759755,2802181,1.38071754610397
1,"Females",20,0.240244853022091,2802181,1.38071754610397
1,"Females",21,0.26785920394417,2802181,1.38071754610397
1,"Females",22,0.283047096951314,2802181,1.38071754610397
1,"Females",23,0.259574898667547,2802181,1.38071754610397
1,"Females",24,0.28856996713573,2802181,1.38071754610397
1,"Females",25,0.328610775972745,2802181,1.38071754610397
1,"Females",26,0.349321539164305,2802181,1.38071754610397
1,"Females",27,0.363128714625344,2802181,1.38071754610397
1,"Females",28,0.405930958554568,2802181,1.38071754610397
1,"Females",29,0.400408088370152,2802181,1.38071754610397
1,"Females",30,0.473586118313662,2802181,1.38071754610397
1,"Females",31,0.487393293774702,2802181,1.38071754610397
1,"Females",32,0.57713993427146,2802181,1.38071754610397
1,"Females",33,0.600612132555227,2802181,1.38071754610397
1,"Females",34,0.702785230966921,2802181,1.38071754610397
1,"Females",35,0.746968192442249,2802181,1.38071754610397
1,"Females",36,0.787009001279264,2802181,1.38071754610397
1,"Females",37,1.0079238086559,2802181,1.38071754610397
1,"Females",38,0.947172236627324,2802181,1.38071754610397
1,"Females",39,1.03829959467019,2802181,1.38071754610397
1,"Females",40,1.11838121234422,2802181,1.38071754610397
1,"Females",41,1.23850363885526,2802181,1.38071754610397
1,"Females",42,1.39314400401891,2802181,1.38071754610397
1,"Females",43,1.48841351470008,2802181,1.38071754610397
1,"Females",44,1.71070903962282,2802181,1.38071754610397
1,"Females",45,1.85154222932543,2802181,1.38071754610397
1,"Females",46,2.03379694541115,2802181,1.38071754610397
1,"Females",47,2.20224448603583,2802181,1.38071754610397
1,"Females",48,2.40935211795143,2802181,1.38071754610397
1,"Females",49,2.58470324630663,2802181,1.38071754610397
1,"Females",50,2.8511817327047,2802181,1.38071754610397
1,"Females",51,3.11489878401056,2802181,1.38071754610397
1,"Females",52,3.39932659850798,2802181,1.38071754610397
1,"Females",53,3.56087055140214,2802181,1.38071754610397
1,"Females",54,3.81630329743138,2802181,1.38071754610397
1,"Females",55,4.25122932445413,2802181,1.38071754610397
1,"Females",56,4.68339391638467,2802181,1.38071754610397
1,"Females",57,5.08380200475482,2802181,1.38071754610397
1,"Females",58,5.63746974074252,2802181,1.38071754610397
1,"Females",59,6.09172581341072,2802181,1.38071754610397
1,"Females",60,6.72685588461855,2802181,1.38071754610397
1,"Females",61,7.36060523828027,2802181,1.38071754610397
1,"Females",62,8.48036716817059,2802181,1.38071754610397
1,"Females",63,9.02022772869724,2802181,1.38071754610397
1,"Females",64,9.77133807377781,2802181,1.38071754610397
1,"Females",65,10.7336982034123,2802181,1.38071754610397
1,"Females",66,11.5414179678831,2802181,1.38071754610397
1,"Females",67,12.6211390889364,2802181,1.38071754610397
1,"Females",68,14.0584660544306,2802181,1.38071754610397
1,"Females",69,15.1588979386755,2802181,1.38071754610397
1,"Females",70,16.7287737885957,2802181,1.38071754610397
1,"Females",71,18.0252675643873,2802181,1.38071754610397
1,"Females",72,20.6886717108219,2802181,1.38071754610397
1,"Females",73,23.7055395490591,2802181,1.38071754610397
1,"Females",74,25.9699163246696,2802181,1.38071754610397
1,"Females",75,29.069627215673,2802181,1.38071754610397
1,"Females",76,32.8307018112602,2802181,1.38071754610397
1,"Females",77,37.2338100657858,2802181,1.38071754610397
1,"Females",78,42.2112968194906,2802181,1.38071754610397
1,"Females",79,47.4676885175084,2802181,1.38071754610397
1,"Females",80,53.2929358445211,2802181,1.38071754610397
1,"Females",81,60.15786348375,2802181,1.38071754610397
1,"Females",82,68.3289499215933,2802181,1.38071754610397
1,"Females",83,79.1882934217011,2802181,1.38071754610397
1,"Females",84,89.9813624795958,2802181,1.38071754610397
1,"Females",85,103.196210113357,2802181,1.38071754610397
1,"Females",86,118.843882063353,2802181,1.38071754610397
1,"Females",87,135.114257626642,2802181,1.38071754610397
1,"Females",88,155.989326206188,2802181,1.38071754610397
1,"Females",89,174.930009503643,2802181,1.38071754610397
1,"Females",90,197.515787122811,2802181,1.38071754610397
1,"Females",91,223.973096741256,2802181,1.38071754610397
1,"Females",92,253.329913206518,2802181,1.38071754610397
1,"Females",93,283.566246748649,2802181,1.38071754610397
1,"Females",94,319.630589052885,2802181,1.38071754610397
1,"Females",95,359.841226148071,2802181,1.38071754610397
1,"Females",96,401.059787051913,2802181,1.38071754610397
1,"Females",97,431.742092361435,2802181,1.38071754610397
1,"Females",98,481.998830322074,2802181,1.38071754610397
